Grid Size,63
NULL,NodeType,GridX,GridY,Length,Width,Height,PosX,PosY,PosZ
0,0,0,0,2.2222209999999905,2.2222210000000047,0,-83.9567605,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,1,2.2222220000000164,2.2222210000000047,0,-81.734539,-69.21361149999998,0
0,1,1,1,2.2222220000000164,2.2222209999999905,0,-81.734539,-66.9913905,0
0,1,1,0,2.2222209999999905,2.2222209999999905,0,-83.9567605,-66.9913905,0
0,0,0,1,2.2222220000000164,2.2222210000000047,0,-81.734539,-69.21361149999998,0
0,1,1,0,2.2222209999999905,2.2222209999999905,0,-83.9567605,-66.9913905,0
0,1,0,0,2.2222209999999905,2.2222210000000047,0,-83.9567605,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,2,2.2222289999999703,2.2222210000000047,0,-79.5123135,-69.21361149999998,0
0,1,1,2,2.2222289999999703,2.2222209999999905,0,-79.5123135,-66.9913905,0
0,1,1,1,2.2222220000000164,2.2222209999999905,0,-81.734539,-66.9913905,0
0,0,0,2,2.2222289999999703,2.2222210000000047,0,-79.5123135,-69.21361149999998,0
0,1,1,1,2.2222220000000164,2.2222209999999905,0,-81.734539,-66.9913905,0
0,1,0,1,2.2222220000000164,2.2222210000000047,0,-81.734539,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,3,2.222213000000039,2.2222210000000047,0,-77.2900925,-69.21361149999998,0
0,1,1,3,2.222213000000039,2.2222209999999905,0,-77.2900925,-66.9913905,0
0,1,1,2,2.2222289999999703,2.2222209999999905,0,-79.5123135,-66.9913905,0
0,0,0,3,2.222213000000039,2.2222210000000047,0,-77.2900925,-69.21361149999998,0
0,1,1,2,2.2222289999999703,2.2222209999999905,0,-79.5123135,-66.9913905,0
0,1,0,2,2.2222289999999703,2.2222210000000047,0,-79.5123135,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,4,2.2222289999999845,2.2222210000000047,0,-75.0678715,-69.21361149999998,0
0,1,1,4,2.2222289999999845,2.2222209999999905,0,-75.0678715,-66.9913905,0
0,1,1,3,2.222213000000039,2.2222209999999905,0,-77.2900925,-66.9913905,0
0,0,0,4,2.2222289999999845,2.2222210000000047,0,-75.0678715,-69.21361149999998,0
0,1,1,3,2.222213000000039,2.2222209999999905,0,-77.2900925,-66.9913905,0
0,1,0,3,2.222213000000039,2.2222210000000047,0,-77.2900925,-69.21361149999998,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,5,2.2222139999999797,2.2222210000000047,0,-72.84565,-69.21361149999998,0
0,1,1,5,2.2222139999999797,2.2222209999999905,0,-72.84565,-66.9913905,0
0,1,1,4,2.2222289999999845,2.2222209999999905,0,-75.0678715,-66.9913905,0
